id,observed_on,latitude,longitude,scientific_name,common_name
279210622,2025,35.52415,-83.01422222,Pyrus calleryana,Callery pear
279277689,2025,35.76535989,-78.78013497,Pyrus calleryana,Callery pear
279816070,2025,35.64112599,-81.40344218,Pyrus calleryana,Callery pear
279990320,2025,35.89478469,-77.53512369,Pyrus calleryana,Callery pear
280269661,2025,36.14928187,-81.20097632,Pyrus calleryana,Callery pear
280813463,2025,35.92609024,-79.06481171,Pyrus calleryana,Callery pear
281365714,2025,35.57883408,-82.50367625,Pyrus calleryana,Callery pear
281373825,2025,35.57628423,-82.50182969,Pyrus calleryana,Callery pear
281411909,2025,35.884313,-78.5367249,Pyrus calleryana,Callery pear
281420689,2025,35.7684438,-78.54187327,Pyrus calleryana,Callery pear
281766223,2025,35.77933833,-78.1153195,Pyrus calleryana,Callery pear
282367672,2025,35.7681339,-78.7105711,Pyrus calleryana,Callery pear
282638420,2025,35.95486579,-79.32136278,Pyrus calleryana,Callery pear
282881937,2025,35.40511322,-82.50119019,Pyrus calleryana,Callery pear
283078161,2025,36.26068,-75.889595,Pyrus calleryana,Callery pear
283179241,2025,35.32282961,-82.44890542,Pyrus calleryana,Callery pear
283365137,2025,35.79171167,-78.66856333,Pyrus calleryana,Callery pear
283463937,2025,36.1674006,-78.8641607,Pyrus calleryana,Callery pear
283967021,2025,35.96216202,-77.91596985,Pyrus calleryana,Callery pear
284016869,2025,35.11482529,-80.67365274,Pyrus calleryana,Callery pear
284052200,2025,35.0771,-80.17559667,Pyrus calleryana,Callery pear
284315760,2025,35.09096483,-80.61291116,Pyrus calleryana,Callery pear
284496208,2025,36.26085,-75.88964167,Pyrus calleryana,Callery pear
284931251,2025,34.44082167,-77.87255333,Pyrus calleryana,Callery pear
285131090,2025,35.58839667,-82.53087,Pyrus calleryana,Callery pear
285335820,2025,35.1600945,-80.75592833,Pyrus calleryana,Callery pear
285729319,2025,35.76673454,-78.85220114,Pyrus calleryana,Callery pear
285987745,2025,35.96817419,-78.96912293,Pyrus calleryana,Callery pear
286015075,2025,35.72479248,-81.48594666,Pyrus calleryana,Callery pear
286078540,2025,35.91038929,-79.00976674,Pyrus calleryana,Callery pear
286136308,2025,35.06111601,-79.59567977,Pyrus calleryana,Callery pear
286354633,2025,35.80312514,-78.78972167,Pyrus calleryana,Callery pear
286373806,2025,36.09971995,-79.48858273,Pyrus calleryana,Callery pear
286855029,2025,35.38221514,-80.77484847,Pyrus calleryana,Callery pear
287117678,2025,35.08445208,-80.6915149,Pyrus calleryana,Callery pear
287207236,2025,35.93839667,-79.02204167,Pyrus calleryana,Callery pear
287290679,2025,36.48302841,-79.69126129,Pyrus calleryana,Callery pear
287410784,2025,35.15781092,-80.74906664,Pyrus calleryana,Callery pear
288029889,2025,36.08105692,-79.87963445,Pyrus calleryana,Callery pear
289011275,2025,35.40040467,-77.48486232,Pyrus calleryana,Callery pear
289108203,2025,36.21138,-81.77603,Pyrus calleryana,Callery pear
289650696,2025,35.613651,-82.463434,Pyrus calleryana,Callery pear
289669545,2025,35.68901825,-80.0249176,Pyrus calleryana,Callery pear
289674910,2025,36.2219582,-81.62763928,Pyrus calleryana,Callery pear
289988483,2025,34.23010972,-77.86111818,Pyrus calleryana,Callery pear
290287202,2025,35.449421,-82.87869897,Pyrus calleryana,Callery pear
291347477,2025,35.40710578,-82.565401,Pyrus calleryana,Callery pear
291476851,2025,36.07554244,-78.89939117,Pyrus calleryana,Callery pear
292140888,2025,35.97738081,-80.43874171,Pyrus calleryana,Callery pear
292364513,2025,35.08862686,-80.61881256,Pyrus calleryana,Callery pear
293858392,2025,35.486695,-80.257195,Pyrus calleryana,Callery pear
294316174,2025,35.1321736,-80.79627602,Pyrus calleryana,Callery pear
294424684,2025,35.75057299,-78.83757739,Pyrus calleryana,Callery pear
294435458,2025,35.0327305,-83.815255,Pyrus calleryana,Callery pear
294574555,2025,35.80913548,-81.8179534,Pyrus calleryana,Callery pear
294749044,2025,35.4230456,-83.33436359,Pyrus calleryana,Callery pear
294973939,2025,36.0959612,-79.43716049,Pyrus calleryana,Callery pear
295199664,2025,35.7946508,-78.4945669,Pyrus calleryana,Callery pear
296021653,2025,35.07798883,-78.94417,Pyrus calleryana,Callery pear
296228300,2025,35.92179541,-78.98362402,Pyrus calleryana,Callery pear
296347838,2025,35.54733333,-82.47281667,Pyrus calleryana,Callery pear
296543406,2025,35.88877833,-79.05498617,Pyrus calleryana,Callery pear
296567115,2025,35.0849981,-80.7927831,Pyrus calleryana,Callery pear
297047246,2025,35.249165,-80.8317717,Pyrus calleryana,Callery pear
297185018,2025,34.74952833,-76.73909667,Pyrus calleryana,Callery pear
299276895,2025,36.24873333,-75.87944667,Pyrus calleryana,Callery pear
299333177,2025,36.24430669,-79.63332629,Pyrus calleryana,Callery pear
299899065,2025,36.1377552,-79.22709324,Pyrus calleryana,Callery pear
300134847,2025,35.65952683,-78.58994293,Pyrus calleryana,Callery pear
300307669,2025,35.96914956,-79.0668785,Pyrus calleryana,Callery pear
300517918,2025,35.01830209,-80.74247037,Pyrus calleryana,Callery pear
300519142,2025,35.06722532,-80.61194415,Pyrus calleryana,Callery pear
301067780,2025,36.26100333,-75.88790833,Pyrus calleryana,Callery pear
301550376,2025,36.19293833,-81.77894667,Pyrus calleryana,Callery pear
301668559,2025,35.19932446,-83.36652022,Pyrus calleryana,Callery pear
302353553,2025,35.36850799,-81.18448455,Pyrus calleryana,Callery pear
302437004,2025,36.26082,-75.88958,Pyrus calleryana,Callery pear
302758608,2025,35.45526333,-82.51165833,Pyrus calleryana,Callery pear
302789846,2025,35.97547833,-79.036775,Pyrus calleryana,Callery pear
303087168,2025,35.99456167,-78.91145333,Pyrus calleryana,Callery pear
303172777,2025,36.0922555,-80.40998,Pyrus calleryana,Callery pear
303471667,2025,35.49812,-77.96576667,Pyrus calleryana,Callery pear
303756923,2025,35.33526103,-82.46437481,Pyrus calleryana,Callery pear
304515370,2025,36.24216688,-80.27690901,Pyrus calleryana,Callery pear
304557959,2025,35.68884167,-77.95259667,Pyrus calleryana,Callery pear
304827010,2025,35.96713257,-78.35578156,Pyrus calleryana,Callery pear
304830725,2025,36.341975,-75.95500833,Pyrus calleryana,Callery pear
305121555,2025,34.23579722,-77.92295833,Pyrus calleryana,Callery pear
305628779,2025,35.43795388,-81.11130502,Pyrus calleryana,Callery pear
306025729,2025,35.73101807,-81.71173859,Pyrus calleryana,Callery pear
306028214,2025,35.6045119,-82.5594604,Pyrus calleryana,Callery pear
306237872,2025,35.84221364,-78.79559688,Pyrus calleryana,Callery pear
306372717,2025,36.261017,-75.88643585,Pyrus calleryana,Callery pear
306557175,2025,35.80972842,-80.20307368,Pyrus calleryana,Callery pear
306908681,2025,36.30913667,-75.90003333,Pyrus calleryana,Callery pear
307735479,2025,35.269875,-77.61813333,Pyrus calleryana,Callery pear
308060986,2025,36.26088667,-75.88961667,Pyrus calleryana,Callery pear
308205349,2025,35.288414,-82.43718697,Pyrus calleryana,Callery pear
308232184,2025,35.050765,-79.59816333,Pyrus calleryana,Callery pear
308236563,2025,35.71856547,-82.61176974,Pyrus calleryana,Callery pear
309481031,2025,35.41762585,-82.56332691,Pyrus calleryana,Callery pear
309569511,2025,35.81819153,-81.67074585,Pyrus calleryana,Callery pear
309617803,2025,35.57054675,-82.55701851,Pyrus calleryana,Callery pear
309646731,2025,36.26043667,-75.88458333,Pyrus calleryana,Callery pear
309647607,2025,36.260425,-75.88465,Pyrus calleryana,Callery pear
309870378,2025,36.260375,-75.88468,Pyrus calleryana,Callery pear
309961524,2024,35.79378,-78.69055833,Pyrus calleryana,Callery pear
309984606,2025,35.98920765,-79.04864015,Pyrus calleryana,Callery pear
310511611,2025,35.12675,-80.846895,Pyrus calleryana,Callery pear
310596954,2025,35.5397,-78.63045167,Pyrus calleryana,Callery pear
311158725,2025,36.26084167,-75.889625,Pyrus calleryana,Callery pear
311370109,2025,35.80492448,-80.80974979,Pyrus calleryana,Callery pear
311393532,2025,36.26018,-75.88716167,Pyrus calleryana,Callery pear
312175252,2025,34.9532323,-80.6880958,Pyrus calleryana,Callery pear
312346800,2025,36.260855,-75.88623,Pyrus calleryana,Callery pear
312458240,2025,35.19600915,-80.93543754,Pyrus calleryana,Callery pear
312483627,2025,35.73403168,-78.67657471,Pyrus calleryana,Callery pear
312485040,2025,35.73387146,-78.67649841,Pyrus calleryana,Callery pear
312910934,2025,35.57052619,-82.55709252,Pyrus calleryana,Callery pear
312911011,2025,35.57053304,-82.55709411,Pyrus calleryana,Callery pear
312911084,2025,35.57041333,-82.55716167,Pyrus calleryana,Callery pear
312911103,2025,35.57052833,-82.557095,Pyrus calleryana,Callery pear
312911132,2025,35.570345,-82.55717833,Pyrus calleryana,Callery pear
